Front,Right,Left,Steering,Driving
11,39,21,1023,522
11,38,23,1023,522
11,38,27,1023,522
24,39,25,1023,522
13,71,26,1023,522
13,40,26,1023,522
15,40,26,1023,522
23,45,28,1023,522
16,44,27,1023,522
22,71,30,1023,522
89,21,32,1023,522
90,20,48,1023,522
35,19,50,1023,522
32,20,46,1023,522
32,124,21,1023,522
30,13,18,1023,522
15,6,16,0,1023
14,6,15,0,1023
14,6,14,0,1023
13,7,82,0,1023
12,7,61,0,1023
12,7,15,0,1023
12,7,16,0,1023
12,7,15,0,1023
10,7,81,0,1023
10,7,15,0,1023
9,8,17,0,1023
9,8,15,0,522
8,8,16,0,522
7,8,15,0,522
7,9,16,0,522
7,10,81,0,522
6,10,16,0,522
6,10,15,0,522
7,10,15,0,522
6,10,15,0,522
6,11,15,0,522
6,11,16,0,522
6,11,15,0,522
6,11,15,0,522
7,11,16,0,522
6,11,15,0,522
6,13,15,0,522
5,12,15,0,522
6,12,15,0,522
6,12,15,0,522
6,13,15,0,522
6,16,16,0,522
6,15,15,0,522
10,29,93,0,522
111,37,90,0,522
12,24,91,0,522
17,11,94,0,522
15,15,92,0,522
13,32,91,0,522
76,71,92,0,522
24,25,90,0,522
72,23,53,0,522
72,10,52,0,522
71,9,51,0,522
71,11,50,0,522
71,9,50,0,522
20,8,51,0,522
17,8,49,0,522
19,7,49,0,522
70,7,50,0,522
19,7,49,0,522
19,7,48,0,522
16,8,49,0,522
18,8,18,0,522
19,8,15,0,522
18,8,15,0,522
16,7,15,0,522
17,7,15,0,522
19,8,14,0,522
18,8,16,0,522
20,7,16,0,522
49,10,7,1023,1023
16,10,7,1023,1023
16,11,6,1023,1023
15,11,6,687,1023
47,11,6,536,1023
46,11,6,536,1023
19,11,6,536,1023
44,11,6,646,1023
15,12,6,681,1023
15,11,6,1023,1023
19,12,5,1023,1023
18,12,5,1023,1023
16,12,5,1023,522
16,12,5,1023,522
15,12,5,1023,522
15,13,5,1023,522
16,12,4,1023,522
16,13,4,1023,522
22,13,4,1023,522
21,13,5,1023,522
18,12,5,1023,522
21,12,5,1023,522
18,12,5,1023,522
35,12,5,1023,522
19,11,5,1023,522
36,11,5,1023,522
17,11,5,536,522
35,11,6,536,522
20,10,6,536,1023
18,8,46,369,1023
19,8,46,0,1023
19,8,46,0,1023
16,7,46,0,935
14,8,46,0,522
17,7,47,0,522
17,7,47,0,522
17,7,46,0,522
17,7,46,0,522
16,7,47,0,522
15,7,47,0,522
15,7,47,0,522
15,7,46,0,522
15,7,46,0,1023
14,7,46,0,1023
14,7,46,0,1023
14,7,46,0,1023
14,7,46,0,1023
14,7,46,0,1023
13,7,46,0,1023
12,7,46,0,1023
12,7,46,0,1023
11,7,27,0,1023
11,8,46,0,1023
10,7,46,0,1023
10,7,28,0,1023
9,7,45,0,1023
9,7,46,0,1023
8,7,25,0,1023
8,7,31,0,522
6,7,45,0,522
6,8,45,0,522
10,9,45,536,0
11,9,45,536,0
11,9,45,536,0
12,9,45,536,0
14,9,45,536,0
14,9,45,536,0
13,9,45,536,0
14,9,46,536,0
18,9,46,536,1
14,9,46,536,522
14,8,47,536,522
15,9,47,536,523
15,9,28,536,1023
14,9,47,536,1023
16,9,30,536,1023
15,9,47,536,1023
15,9,46,536,1023
15,9,28,536,1023
14,9,26,0,1023
15,8,47,0,1023
15,9,47,0,1023
15,9,47,0,1023
14,9,46,0,1023
14,9,46,0,1023
14,9,45,0,1023
17,9,46,0,1023
16,10,45,0,1023
13,9,45,0,1023
13,9,45,0,1023
13,10,45,0,522
7,16,41,0,522
7,16,41,0,522
8,16,41,0,522
8,17,41,0,522
7,17,41,0,522
7,19,41,0,522
8,20,41,0,522
8,19,41,0,522
8,18,41,0,522
13,18,40,0,522
9,18,41,0,522
8,19,40,0,522
9,19,42,0,522
12,17,45,0,522
8,20,42,0,522
9,20,42,0,522
12,20,67,0,522
55,21,137,0,522
90,21,106,0,522
11,21,68,0,522
89,23,141,0,522
41,19,130,0,522
13,21,65,0,522
39,22,129,0,522
38,50,127,0,522
38,44,19,0,522
40,49,124,0,522
37,17,125,0,522
36,13,19,0,522
25,10,16,0,522
22,10,16,0,522
20,10,16,0,522
19,10,41,0,522
18,11,32,0,522
19,11,18,0,522
18,11,18,0,522
18,12,30,0,522
18,12,18,0,522
18,12,16,0,522
18,12,14,0,522
18,12,14,0,522
18,13,13,0,522
18,13,13,0,522
18,13,14,0,522
17,13,16,0,522
17,14,15,0,522
17,15,16,0,522
17,14,19,536,522
17,14,17,536,522
17,17,19,536,522
17,17,16,536,1023
17,17,25,536,1023
17,18,16,536,1023
18,16,16,536,1023
17,15,15,536,1023
16,22,35,536,1023
17,15,16,536,1023
16,22,35,536,1023
15,14,15,536,1023
44,15,35,536,1023
20,29,18,536,1023
22,31,33,536,1023
20,30,34,536,1023
22,28,34,536,1023
22,31,33,536,1023
20,30,33,536,1023
22,35,33,536,1023
21,36,33,536,1023
20,46,32,536,522
20,93,32,536,522
20,44,32,536,522
19,44,31,536,522
19,36,31,536,522
18,26,30,536,522
19,10,30,536,1023
18,31,31,536,1023
20,30,30,536,1023
17,8,31,536,1023
18,10,32,536,1023
18,9,32,1023,1023
17,19,31,1023,1023
20,7,30,1023,1023
20,8,31,1023,1023
20,38,22,1023,1023
20,38,31,1023,1023
20,39,30,1023,1023
19,42,30,536,1023
20,38,34,536,1023
21,35,32,536,1023
22,37,33,536,1023
22,35,59,536,1023
22,34,19,536,1023
67,34,18,536,1023
29,33,36,536,1023
26,32,55,536,1023
27,21,54,536,1023
61,31,104,536,1023
29,19,83,536,522
24,16,25,536,522
23,32,12,536,522
24,17,88,536,522
22,17,71,536,522
22,30,79,536,522
22,29,13,95,522
22,29,13,0,522
22,30,13,0,522
22,29,106,0,522
23,29,88,0,522
26,29,105,0,1023
68,29,96,0,1023
68,18,98,0,1023
64,18,105,0,1023
23,30,74,0,1023
17,17,25,0,522
17,16,25,0,522
17,16,25,0,522
17,17,25,0,522
17,17,25,0,522
17,17,25,0,522
17,17,42,0,1023
17,16,41,0,1023
18,108,41,0,1023
16,32,42,0,1023
17,35,32,0,1023
17,45,41,0,1023
18,35,42,0,1023
18,37,43,0,1023
18,56,41,0,522
21,40,81,0,522
18,31,12,0,522
18,33,11,0,522
18,32,11,0,522
18,34,10,0,522
18,47,11,0,522
16,45,10,0,522
16,46,11,0,522
17,45,10,0,522
16,44,10,0,596
16,44,10,0,1023
16,45,9,0,1023
16,45,10,0,1023
17,45,10,0,1023
13,41,21,1023,1023
12,41,16,1023,893
12,41,15,1023,522
12,40,17,1023,522
13,40,17,1023,522
13,40,17,1023,522
11,39,19,1023,522
12,39,19,1023,522
12,38,20,1023,522
53,40,22,1023,522
11,39,21,1023,522
53,45,22,1023,594
10,43,22,1023,1023
11,38,22,1023,1023
54,41,23,1023,1023
13,52,22,1023,1023
12,41,23,1023,1023
63,46,22,1023,522
62,40,24,1023,522
60,45,24,1023,522
50,42,25,1023,522
60,42,26,1023,522
41,46,27,1023,522
36,47,28,1023,625
33,19,30,1023,1023
33,43,37,1023,1023
33,41,14,1023,1023
15,15,9,1023,1023
15,15,9,1023,1023
14,15,9,1023,1023
14,34,9,1023,1023
14,146,10,1023,1023
13,19,9,1023,1023
13,20,10,1023,522
12,16,10,1023,522
11,20,10,1023,522
12,19,10,1023,522
11,19,11,1023,522
11,19,12,1023,723
11,18,12,1023,1023
11,18,13,1023,522
10,17,13,1023,522
10,18,13,1023,522
10,17,14,1023,522
11,16,14,1023,897
12,16,14,1023,1023
17,18,37,1023,1023
16,20,15,0,0
16,18,17,0,0
17,73,17,0,0
17,20,24,0,0
16,66,31,536,0
16,63,30,536,522
17,79,24,536,522
20,62,44,536,522
20,75,50,536,700
20,65,49,536,1023
20,68,50,536,1023
20,65,49,1023,1023
20,76,43,1023,1023
22,64,49,1023,1023
19,64,36,1023,1023
18,72,17,1023,1023
18,73,16,1023,1023
17,18,17,1023,1023
16,78,16,1023,1023
15,83,18,1023,1023
15,18,24,1023,1023
51,78,24,1023,1023
16,55,10,1023,522
16,15,8,1023,522
16,15,9,1023,522
17,14,9,1023,522
16,14,11,1023,522
17,14,11,1023,522
19,13,12,1023,522
18,13,13,1023,522
16,12,11,1023,522
16,12,10,1023,832
17,12,9,1023,1023
18,12,10,1023,1023
17,12,9,1023,1023
18,12,9,1023,1023
18,12,9,1023,863
18,12,9,536,522
18,12,11,536,522
18,12,12,536,522
18,12,72,536,522
17,12,72,536,522
